ticker,PHO US Equity,CHIM US Equity,KCE US Equity,ICLN US Equity,SPGP US Equity,FIW US Equity,IHF US Equity,PBD US Equity,IAI US Equity,SMH US Equity,XMHQ US Equity,XSD US Equity,QCLN US Equity,PICK US Equity,EWY US Equity,ARKG US Equity,PSI US Equity,MXI US Equity,KORU US Equity,LIT US Equity,ARKK US Equity,UGE US Equity,FAN US Equity,COPX US Equity,ARKQ US Equity,GRID US Equity,RTM US Equity,PBW US Equity,FXZ US Equity,YLCO US Equity
2005-02-15,,,,,,,,,,,,,,,32.45,,,,,,,,,,,,,,,
2005-02-16,,,,,,,,,,,,,,,32.34,,,,,,,,,,,,,,,
2005-02-17,,,,,,,,,,,,,,,32.2,,,,,,,,,,,,,,,
2005-02-18,,,,,,,,,,,,,,,32.95,,,,,,,,,,,,,,,
2005-02-22,,,,,,,,,,,,,,,32.77,,,,,,,,,,,,,,,
2005-02-23,,,,,,,,,,,,,,,32.98,,,,,,,,,,,,,,,
2005-02-24,,,,,,,,,,,,,,,33.45,,,,,,,,,,,,,,,
2005-02-25,,,,,,,,,,,,,,,34.12,,,,,,,,,,,,,,,
2005-02-28,,,,,,,,,,,,,,,34.33,,,,,,,,,,,,,,,
2005-03-01,,,,,,,,,,,,,,,34.62,,,,,,,,,,,,,,,
2005-03-02,,,,,,,,,,,,,,,33.99,,,,,,,,,,,,,,,
2005-03-03,,,,,,,,,,,,,,,34.25,,,,,,,,,,,,,78.05,,
2005-03-04,,,,,,,,,,,,,,,34.5,,,,,,,,,,,,,78.1,,
2005-03-07,,,,,,,,,,,,,,,34.16,,,,,,,,,,,,,78.6,,
2005-03-08,,,,,,,,,,,,,,,33.85,,,,,,,,,,,,,77.4,,
2005-03-09,,,,,,,,,,,,,,,33.79,,,,,,,,,,,,,77.2,,
2005-03-10,,,,,,,,,,,,,,,33.55,,,,,,,,,,,,,76.35,,
2005-03-11,,,,,,,,,,,,,,,34.15,,,,,,,,,,,,,75.7,,
2005-03-14,,,,,,,,,,,,,,,34.16,,,,,,,,,,,,,76.0,,
2005-03-15,,,,,,,,,,,,,,,33.04,,,,,,,,,,,,,75.3,,
2005-03-16,,,,,,,,,,,,,,,32.75,,,,,,,,,,,,,74.2,,
2005-03-17,,,,,,,,,,,,,,,32.91,,,,,,,,,,,,,74.7,,
2005-03-18,,,,,,,,,,,,,,,32.95,,,,,,,,,,,,,74.35,,
2005-03-21,,,,,,,,,,,,,,,32.62,,,,,,,,,,,,,73.95,,
2005-03-22,,,,,,,,,,,,,,,32.31,,,,,,,,,,,,,73.0,,
2005-03-23,,,,,,,,,,,,,,,32.2,,,,,,,,,,,,,72.45,,
2005-03-24,,,,,,,,,,,,,,,31.86,,,,,,,,,,,,,72.5,,
2005-03-28,,,,,,,,,,,,,,,32.25,,,,,,,,,,,,,71.9,,
2005-03-29,,,,,,,,,,,,,,,31.4,,,,,,,,,,,,,69.95,,
2005-03-30,,,,,,,,,,,,,,,31.64,,,,,,,,,,,,,71.6,,
2005-03-31,,,,,,,,,,,,,,,31.81,,,,,,,,,,,,,72.0,,
2005-04-01,,,,,,,,,,,,,,,32.2,,,,,,,,,,,,,72.0,,
2005-04-04,,,,,,,,,,,,,,,32.52,,,,,,,,,,,,,72.25,,
2005-04-05,,,,,,,,,,,,,,,32.7,,,,,,,,,,,,,72.45,,
2005-04-06,,,,,,,,,,,,,,,32.95,,,,,,,,,,,,,72.5,,
2005-04-07,,,,,,,,,,,,,,,33.3,,,,,,,,,,,,,73.1,,
2005-04-08,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,71.7,,
2005-04-11,,,,,,,,,,,,,,,32.64,,,,,,,,,,,,,70.45,,
2005-04-12,,,,,,,,,,,,,,,32.9,,,,,,,,,,,,,70.65,,
2005-04-13,,,,,,,,,,,,,,,32.51,,,,,,,,,,,,,68.8,,
2005-04-14,,,,,,,,,,,,,,,31.25,,,,,,,,,,,,,67.45,,
2005-04-15,,,,,,,,,,,,,,,30.84,,,,,,,,,,,,,65.3,,
2005-04-18,,,,,,,,,,,,,,,30.65,,,,,,,,,,,,,65.9,,
2005-04-19,,,,,,,,,,,,,,,31.2,,,,,,,,,,,,,67.45,,
2005-04-20,,,,,,,,,,,,,,,30.77,,,,,,,,,,,,,66.0,,
2005-04-21,,,,,,,,,,,,,,,31.63,,,,,,,,,,,,,67.65,,
2005-04-22,,,,,,,,,,,,,,,31.15,,,,,,,,,,,,,66.1,,
2005-04-25,,,,,,,,,,,,,,,31.85,,,,,,,,,,,,,66.6,,
2005-04-26,,,,,,,,,,,,,,,31.55,,,,,,,,,,,,,65.8,,
2005-04-27,,,,,,,,,,,,,,,30.95,,,,,,,,,,,,,65.25,,
2005-04-28,,,,,,,,,,,,,,,30.39,,,,,,,,,,,,,64.1,,
2005-04-29,,,,,,,,,,,,,,,30.84,,,,,,,,,,,,,64.25,,
2005-05-02,,,,,,,,,,,,,,,30.61,,,,,,,,,,,,,65.1,,
2005-05-03,,,,,,,,,,,,,,,30.43,,,,,,,,,,,,,65.25,,
2005-05-04,,,,,,,,,,,,,,,31.8,,,,,,,,,,,,,65.35,,
2005-05-05,,,,,,,,,,,,,,,31.65,,,,,,,,,,,,,65.15,,
2005-05-06,,,,,,,,,,,,,,,31.7,,,,,,,,,,,,,65.5,,
2005-05-09,,,,,,,,,,,,,,,31.69,,,,,,,,,,,,,66.25,,
2005-05-10,,,,,,,,,,,,,,,31.15,,,,,,,,,,,,,65.65,,
2005-05-11,,,,,,,,,,,,,,,31.2,,,,,,,,,,,,,65.6,,
2005-05-12,,,,,,,,,,,,,,,30.66,,,,,,,,,,,,,64.6,,
2005-05-13,,,,,,,,,,,,,,,30.78,,,,,,,,,,,,,63.75,,
2005-05-16,,,,,,,,,,,,,,,31.15,,,,,,,,,,,,,64.15,,
